forename,males,females,total
alene,0,4,5
alesandra,0,2,6
alese,0,2,5
alesha,0,13,23
aleshia,0,5,8
alesi,2,0,2
alesia,0,16,29
alessa,0,3,8
alessandra,0,63,150
alessandro,67,0,128
alessia,0,11,35
alessio,13,0,19
aleta,0,6,12
aleth,0,2,2
aletha,0,2,5
alethea,0,9,18
alethia,0,4,10
alev,0,3,7
alevtina,0,2,5
alex,2203,205,4971
alexa,0,154,378
alexandar,3,0,4
alexander,702,2,1241
alexandr,6,0,8
alexandra,1,606,1453
alexandre,56,1,112
alexandrea,0,7,11
alexandria,0,73,158
alexandrine,0,4,4
alexandro,3,0,5
alexandros,12,0,20
alexandru,15,0,22
alexcia,0,3,4
alexei,14,1,25
alexey,23,0,30
alexi,10,3,32
alexia,1,44,95
alexie,5,1,10
alexis,120,377,1092
alexsa,0,5,7
alexsandra,0,4,8
alexus,1,6,13
alexy,4,0,4
alexys,0,2,3
alexyz,2,0,2
alexza,0,2,3
alexzandra,0,2,2
aleya,0,3,4
aleyda,0,3,5
alf,4,0,6
alfa,3,2,6
alfaz,2,0,2
alfi,3,1,4
alfia,0,2,3
alfie,12,1,18
alfina,0,2,2
alfio,5,0,5
alfonse,2,0,6
alfonsina,0,5,7
alfonso,91,1,144
alfonzo,5,0,12
alfred,154,1,250
alfreda,0,4,7
alfredo,150,0,223
algenis,2,0,3
alger,2,0,4
algernon,5,1,9
algis,2,0,2
alhaji,3,0,3
alhan,2,0,2
alhassan,2,0,2
ali,308,151,1056
alia,0,29,59
aliah,0,4,8
alica,0,4,5
alican,4,0,8
alice,0,405,832
alicea,0,2,2
alicen,0,4,8
alicia,0,594,1170
alicja,0,12,23
alicyn,0,4,4
alida,0,21,38
alie,0,4,9
alieu,4,0,5
alif,2,0,2
alii,0,2,3
alijah,2,0,3
alik,2,0,3
alika,1,3,6
aliki,0,2,7
aliko,3,0,3
alim,3,0,7
alin,6,4,12
alina,0,95,236
aline,0,29,49
aliona,0,4,5
alioune,6,0,10
alireza,5,0,15
alis,0,2,7
alisa,0,106,262
alisabeth,0,2,2
alise,0,16,21
alisen,0,2,2
alisha,0,109,195
alisher,2,0,5
alishia,0,3,5
alisia,0,7,9
alison,2,430,1093
alissa,0,77,223
alisson,2,5,11
alistair,10,0,18
alister,5,0,6
alita,0,5,12
alivia,0,3,5
alix,22,37,109
alixandra,0,3,7
aliya,0,19,47
aliyah,0,15,26
aliza,0,47,123
alizah,0,3,5
alize,0,5,8
alka,1,8,20
alketa,0,2,5
all,7,6,24
alla,1,65,141
alladin,2,0,2
allah,2,0,3
allain,2,0,3
allan,213,0,339
allana,0,7,17
allanah,0,2,3
alle,1,2,5
allegra,0,24,65
allegria,0,2,2
allel,2,0,3
allen,303,4,537
allene,0,2,4
alley,0,8,12
alleyne,1,2,5
alli,3,24,86
alliah,0,2,5
allie,4,90,274
allis,0,2,4
allisen,0,4,4
allison,1,622,1627
allistair,3,0,3
allister,9,0,15
alliyah,0,2,5
allon,7,0,12
allons,2,0,2
ally,6,69,169
allyn,6,5,17
allysa,0,2,4
allysha,0,2,3
allyson,1,83,192
allyssa,0,5,9
alma,0,84,152
almamy,3,0,4
almarie,0,2,2
almaz,1,1,3
almedina,0,3,3
almir,4,0,7
almira,0,6,13
almog,2,1,7
almond,1,1,2
almost,1,1,2
almudena,0,2,2
alo,2,0,2
alok,13,0,24
alon,40,0,82
alona,0,16,27
alondra,0,12,20
alonso,10,0,19
alonza,4,0,4
alonzo,27,0,43
aloysius,3,0,5
alp,9,0,12
alpa,1,3,13
alpana,0,4,7
alper,13,0,35
alperen,2,0,2
alpesh,6,0,7
alpha,7,4,22
alphaa,2,0,3
alphonse,14,0,19
alphonso,16,0,28
alphonzo,2,0,2
alrick,3,0,5
alston,5,1,11
alta,0,4,9
altaf,9,0,12
altagrace,0,2,3
altagracia,0,18,24
altan,3,0,4
alter,2,0,2
althea,0,64,108
althia,0,4,6
altia,0,2,2
altin,6,0,8
alton,25,0,41
altovise,0,2,3
aluko,2,0,4
alun,2,0,4
alva,2,4,11
alvarado,2,1,3
alvarez,2,1,6
alvaro,78,0,134
alvi,2,0,3
alvida,0,3,3
alvin,186,0,293
alvina,0,6,14
alvino,3,0,3
alvis,3,0,5
alvise,2,0,3
alvonya,0,2,2
alwin,3,0,7
alwyn,7,1,11
alx,2,0,4
aly,13,19,79
alyce,0,18,25
alycia,0,8,25
alyn,1,2,6
alynne,0,2,2
alyona,0,10,15
alysa,0,9,22
alyse,0,23,53
alysha,0,17,34
alysia,0,7,22
alyson,0,64,186
alyssa,0,311,808
alysse,0,2,3
alyssia,0,5,8
alyx,1,2,7
alyxandria,0,2,2
ama,3,12,29
amaal,0,2,2
amaala,0,2,2
amad,3,0,3
amada,0,7,11
amadeo,2,0,3
amadeus,4,0,4
amadi,2,2,7
amado,12,0,16
amador,4,0,7
amadou,13,1,18
amadu,4,0,6
amair,2,0,2
amaka,0,4,10
amal,6,13,37
amala,1,3,8
amalfi,0,4,8
amalia,0,33,71
amalie,0,3,10
aman,27,4,63
amanda,4,1461,3513
amandeep,12,5,29
amandine,0,8,15
amani,1,8,21
amano,1,1,2
amany,0,3,4
amar,47,5,78
amara,3,8,19
amarachi,0,4,5
amardeep,3,1,8
amari,5,3,12
amarie,0,2,3
amarildo,2,0,4
amarilis,0,14,22
amarilys,0,3,6
amaris,0,8,21
amarjit,4,0,7
amauri,6,0,9
amauris,4,0,8
amaury,31,1,51
amaurys,5,0,6
amaya,0,2,8
amazin,2,0,3
amba,1,1,2
ambar,0,12,25
amber,1,268,584
amberly,0,3,5
amberlynn,0,3,4
ambi,2,0,3
ambika,0,11,25
ambra,0,2,4
ambre,0,2,5
ambreen,0,2,9
ambrose,12,0,19
ambrosia,0,2,2
amdy,2,0,2
ame,0,3,6
amechi,3,0,3
amedeo,6,0,11
ameen,3,0,5
ameena,0,4,6
ameenah,0,2,2
ameer,16,0,27
ameera,0,5,8
ameerah,0,2,2
ameet,7,0,11
ameeta,0,2,3
ameika,0,2,2
amel,2,3,11
amela,0,4,9
amelia,1,132,282
amelie,0,17,33
amen,4,1,5
amena,0,6,10
amer,9,0,20
amera,0,2,2
america,0,5,17
americo,10,0,13
amerie,0,3,5
ames,2,2,8
amesha,0,4,4
amethyst,0,2,7
amey,0,4,5
ameya,5,0,9
amgad,3,0,7
ami,13,47,114
amia,0,3,4
amica,0,2,2
amichai,2,0,3
amie,0,37,78
amiee,0,4,7
amiel,2,1,8
amika,0,3,4
amil,3,0,7
amila,3,2,8
amilcar,8,0,13
amin,26,0,47
amina,0,49,100
aminah,0,4,10
aminata,0,9,18
amine,22,0,35
aminta,0,2,4
aminu,4,0,5
amir,126,1,215
amira,0,23,44
amirah,0,6,15
amiran,1,1,2
amirh,0,2,2
amiri,2,0,2
amish,12,0,19
amisha,0,6,12
amit,160,2,292
amita,0,9,16
amitai,5,0,6
amitava,2,0,2
amity,0,2,8
amiya,2,0,3
amjad,11,0,13
amma,0,7,12
ammar,17,0,29
ammo,2,1,3
ammon,3,0,7
ammy,0,5,6
amna,0,12,17
amnon,6,0,8
amo,3,1,4
amogh,2,0,2
amol,10,0,17
amon,3,0,5
amor,4,3,11
amore,1,2,4
amory,2,1,8
amos,24,1,43
amoy,0,9,15
amp,1,1,3
amparo,0,11,19
ampy,1,1,2
amr,29,0,42
amra,0,2,8
amram,3,0,5
amran,3,0,4
amreen,0,2,6
amrik,3,0,4
amrinder,2,0,4
amrish,2,0,4
amrit,12,3,23
amrita,0,19,46
amro,2,0,5
amruta,0,3,5
amun,2,0,2
amy,2,1429,3581
amyn,2,0,5
amzad,2,0,3
an,5,6,25
ana,2,788,1474
anabel,0,32,58
anabela,0,2,5
anabell,0,4,8
anabella,0,6,8
anabelle,0,6,13
anael,1,1,4
anagha,0,2,3
anahi,0,4,6
anahis,0,2,2
anaida,0,3,4
anaika,0,2,3
anais,0,28,49
anaisa,0,2,3
anaise,0,3,5
anakay,0,2,2
analee,0,2,3
anali,0,4,7
analia,0,9,13
analie,0,2,3
analisa,0,5,12
analiz,0,2,2
analiza,0,3,4
analydia,0,3,3
anam,1,10,20
anamari,0,2,4
anamaria,0,10,24
anamarie,0,2,6
anamika,0,7,9
anamul,2,0,2
anan,1,1,5
anand,48,1,92
ananda,5,11,26
anandi,0,2,2
anansa,0,2,2
anant,10,0,14
anar,3,5,13
anas,13,1,22
anasa,0,2,2
anass,3,0,4
anastacia,0,5,10
anastashia,0,3,3
anastasia,0,148,322
anastasio,3,0,3
anastasios,7,0,15
anastasiya,0,22,47
anastassia,0,6,10
anastasya,0,2,4
anastatia,0,2,2
anastazia,0,2,2
anat,1,18,44
anatalia,0,2,2
anatilia,0,2,2
anatole,3,0,4
anatolii,3,0,3
anatoliy,10,0,21
anatoly,8,0,22
anaya,0,6,8
anayansi,0,2,4
anayka,0,2,3
anayza,0,2,2
anca,0,9,25
ancel,1,1,3
anchal,0,2,6
anchalee,0,3,4
ancil,3,0,3
ancy,1,3,6
anda,0,9,14
anddy,2,0,2
ande,4,2,9
andee,1,4,10
andel,4,0,6
andell,4,0,6
ander,1,1,5
anders,20,0,39
anderson,55,3,100
andersson,2,0,2
andhika,2,0,2
andi,15,31,107
andie,3,18,43
andika,2,0,2
andile,1,1,4
andino,2,0,2
andoni,3,0,5
andora,0,2,3
andra,1,9,25
andrae,14,0,19
andras,4,0,11
andray,3,0,3
andraya,0,2,2
andre,598,5,989
andrea,95,1197,2721
andreana,0,2,7
andreas,86,0,158
andree,1,7,19
andreea,0,13,27
andrei,48,1,87
andreia,0,3,6
andreina,0,10,18
andreis,2,0,2
andrej,5,0,11
andrene,0,7,7
andressa,0,4,5
andrew,2778,5,5483
andrews,5,1,11
andrey,49,1,95
andreza,0,2,2
andri,5,1,10
andria,0,15,34
andrian,2,0,2
andriana,0,6,18
andries,1,1,3
andrij,3,0,3
andrija,3,0,4
andrina,0,2,2
andrine,0,2,3
andris,2,1,8
andrius,3,0,5
andriy,8,0,12
andromeda,1,1,4
andros,2,0,2
andru,5,0,7
andry,6,2,16
andrzej,13,0,16
andres,291,0,559
anduin,1,1,2
andwele,2,0,2
andy,828,27,1627
anecia,0,2,4
aneela,0,4,10
anees,2,0,5
aneesa,0,4,13
aneesah,0,2,4
aneesha,0,4,9
aneika,0,2,2
aneisa,0,3,3
aneisha,0,2,4
aneka,0,2,3
anel,3,6,14
anelise,0,3,3
anesha,0,6,7
anessa,0,4,9
anesta,0,2,2
aneta,0,16,35
anetta,0,2,7
anette,0,12,21
aneudi,4,0,5
aneudy,4,0,7
aneuris,2,0,3
aneury,3,0,3
anfisa,0,2,3
ang,3,4,19
angad,3,0,9
angalic,0,2,2
ange,3,5,15
angee,0,2,8
angel,631,150,1178
angela,4,1294,2557
angelena,0,3,3
angelene,0,5,7
angeles,1,4,13
angeli,1,4,14
angelia,0,7,17
angelic,0,8,15
angelica,0,227,406
angelie,0,4,6
angelik,0,2,2
angelika,1,27,52
angeliki,0,7,15
angelina,0,137,246
angeline,0,32,51
angelino,2,0,3
angelique,0,81,147
angelisa,0,2,2
angelita,0,11,18
angelito,4,0,6
angella,0,18,30
angello,4,0,4
angelly,0,2,3
angelo,293,1,507
angelos,2,0,6
angels,1,1,3
angely,0,3,8
angelyn,0,2,6
angelys,0,3,4
angery,4,0,4
angi,0,2,9
angie,1,301,620
angjelina,0,2,2
angle,0,2,2
angus,16,0,37
angy,0,2,9
anh,3,5,26
ani,5,18,46
ania,0,24,58
anibal,29,0,41
anica,0,3,6
anice,0,3,5
anie,0,3,8
anieka,0,3,4
aniel,2,0,5
aniello,4,0,10
anik,1,1,11
anika,1,47,89
aniket,5,0,8
aniko,0,3,7
anil,72,0,134
anila,0,15,31
animesh,2,0,3
aniqa,0,4,7
anique,0,2,3
anirban,3,0,3
aniruddha,7,0,8
anirudh,5,0,5
anirudha,2,0,3
anis,9,1,15
anisa,0,18,37
anisah,0,6,12
anise,0,2,3
anish,7,0,26
anisha,0,19,41
anishka,0,2,2
anisia,0,3,4
anissa,0,23,47
anita,0,329,612
anitha,0,6,8
anitra,0,8,15
aniyah,1,2,3
anj,0,2,4
anja,0,24,57
anjail,0,2,2
anjali,0,31,74
anjan,2,0,4
anjana,0,6,13
anjanette,0,5,7
anjani,1,1,2
anjanie,0,5,8
anjel,1,3,7
anjela,0,2,3
anjelica,0,6,12
anjelika,0,2,4
anjelina,0,2,2
anjelique,0,4,4
anji,1,1,6
anjie,0,2,3
anjoli,0,2,3
anju,3,8,27
anjuli,0,6,9
