author,female,source
w2406.2,0,1
w2406.3,0,1
w2415.1,1,1
w2416.1,1,1
w2418.1,0,1
w2420.2,0,1
w2421.1,1,1
w2438.1,0,1
w2439.1,1,1
w2441.1,1,1
w2445.2,0,1
w2450.1,0,1
w2452.1,1,1
w2455.1,0,1
w2456.1,0,1
w2456.2,0,1
w2456.3,0,1
w2458.1,0,0
w2458.2,0,1
w2458.4,0,1
w2462.1,1,1
w2465.1,0,1
w2467.2,0,1
w2468.2,0,1
w2470.1,0,1
w2471.1,0,1
w2471.2,0,1
w2477.1,0,1
w2477.3,1,1
w2478.2,0,1
w2482.1,0,1
w2487.1,0,1
w2501.2,0,1
w2508.2,1,1
w2512.2,1,1
w2514.1,0,1
w2522.1,0,1
w2526.2,0,1
w2527.2,1,1
w2530.2,0,2
w2541.1,0,1
w2541.2,0,1
w2542.2,0,1
w2543.2,0,1
w2546.1,0,1
w2547.1,0,1
w2556.3,0,1
w2557.1,0,2
w2558.2,0,1
w2563.1,0,1
w2573.2,0,1
w2582.1,0,1
w2583.2,0,1
w2593.2,0,1
w2596.1,1,1
w2596.2,0,1
w2597.1,1,1
w2597.2,0,1
w2600.1,0,0
w2601.2,0,1
w2607.1,0,1
w2608.2,0,1
w2609.3,-1,0
w2611.1,0,1
w2614.2,0,1
w2616.1,0,0
w2618.1,1,1
w2620.2,0,1
w2627.2,0,1
w2628.2,0,1
w2628.4,0,1
w2630.1,0,1
w2631.1,0,1
w2636.1,1,1
w2638.1,0,1
w2640.2,0,1
w2641.1,0,1
w2642.1,0,1
w2649.1,0,1
w2659.1,0,1
w2659.3,0,1
w2665.2,0,1
w2669.1,0,1
w2669.2,0,1
w2676.1,1,1
w2676.2,0,1
w2677.2,0,1
w2678.1,0,1
w2680.1,0,1
w2683.1,0,2
w2683.2,0,1
w2684.1,1,1
w2684.3,0,0
w2689.2,1,1
w2694.2,0,1
w2696.2,-1,0
w2702.1,1,1
w2704.1,0,1
w2708.2,0,1
w2714.1,0,1
w2717.2,1,1
w2717.3,1,1
w2724.2,0,1
w2727.2,0,1
w2728.1,1,1
w2728.2,0,1
w2728.3,0,1
w2731.1,1,1
w2736.2,0,1
w2736.3,0,1
w2738.1,0,1
w2740.1,1,1
w2749.2,0,1
w2750.1,0,1
w2751.1,1,1
w2762.1,0,1
w2762.2,0,0
w2769.2,1,1
w2770.1,0,1
w2779.2,0,0
w2779.3,0,1
w2795.2,1,1
w2797.2,0,1
w2797.4,0,1
w2798.1,0,1
w2812.1,0,1
w2813.1,0,1
w2818.2,0,1
w2821.1,0,1
w2826.2,0,1
w2831.2,1,0
w2844.1,1,1
w2853.2,1,1
w2854.1,0,0
w2862.2,0,1
w2864.1,0,1
w2866.1,0,1
w2874.1,0,1
w2874.2,0,1
w2884.2,0,1
w2884.4,0,1
w2889.1,0,1
w2891.2,0,1
w2892.2,0,1
w2893.2,0,1
w2895.1,0,1
w2898.1,1,1
w2898.2,0,1
w2899.1,0,1
w2910.2,0,1
w2916.1,-1,0
w2920.2,0,1
w2926.2,0,1
w2927.3,0,1
w2943.1,0,1
w2943.2,0,0
w2949.1,0,1
w2955.1,0,0
w2956.2,0,1
w2958.1,0,0
w2962.2,-1,0
w2963.1,0,1
w2969.1,0,0
w2969.2,0,1
w2974.2,0,0
w2980.1,0,1
w2987.2,0,1
w2988.2,0,1
w2991.2,0,1
w2994.2,0,1
w2995.1,0,1
w3002.1,0,0
w3012.1,-1,0
w3013.1,0,0
w3016.1,0,1
w3020.2,0,1
w3021.1,1,1
w3029.2,0,1
w3032.1,1,1
w3033.1,0,1
w3035.2,0,1
w3050.1,0,1
w3054.4,0,0
w3055.1,1,1
w3056.2,0,1
w3066.1,0,1
w3067.1,1,1
w3079.1,0,1
w3079.3,0,1
w3081.1,0,1
w3092.1,0,1
w3104.1,0,1
w3104.2,0,0
w3105.2,0,1
w3107.1,0,1
w3109.2,1,1
w3112.2,-1,0
w3113.1,0,1
w3115.1,0,1
w3116.1,0,1
w3116.2,0,1
w3117.1,0,1
w3118.2,1,1
w3118.3,0,1
w3121.2,0,1
w3129.1,1,0
w3133.2,0,1
w3135.2,0,1
w3136.2,-1,0
w3139.1,0,0
w3140.1,0,1
w3148.3,0,1
w3151.1,0,1
w3155.2,1,1
w3158.1,1,0
w3161.1,0,1
w3167.1,0,1
w3175.2,0,1
w3176.2,0,0
w3179.1,0,1
w3179.2,0,1
w3179.3,0,1
w3180.3,0,1
w3185.2,0,1
w3187.1,0,1
w3188.2,0,1
w3189.2,0,1
w3190.2,0,1
w3191.2,0,2
w3197.2,0,1
w3206.2,0,1
w3209.1,0,1
